,REC_BB1,REC_BB2,REC_MA1,REC_MA2,REC_NUM_LONGS,REC_NUM_SHORTS,REC_PRICE,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-01-01 23:59:00+00:00,8.290873610186098,8.419001389814218,8.239999999999998,8.20466666666668,69,69,8.24,,0.0008303800000013517,,0.0,,,-997.73962,2.260380000000031,998.57,998.57,0.0,0.9977414954170355,998.57,998.57,1,0.0,0.9977414954170355,0.9977414954170355,"[{'id': 'df609f9f68d748d0a771f1b1cdcc498e', 'dt': Timestamp('2017-01-01 23:02:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-01-01 22:21:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 0.001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [BTCUSD]), 'status': 1}]",2017-01-01 23:59:00+00:00,2017-01,2017-01-01 00:00:00+00:00,0.8303800000001047,1000.8303800000001,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 998.57}]",0.0008303800000013517,,0.0,0.0,0,,1000.0,0.0,0.0,1,"[{'amount': 1, 'dt': Timestamp('2017-01-01 23:02:00+0000', tz='UTC'), 'price': 997.73862, 'order_id': 'df609f9f68d748d0a771f1b1cdcc498e', 'sid': Equity(0 [BTCUSD]), 'commission': None}]",0.0
2017-01-02 23:59:00+00:00,8.229591428522099,8.348142946477786,8.549999999999999,8.516583333333317,1296,1295,8.55,0.23361017942358409,0.02249037999999781,,0.0,0.0,,0.0,2.260380000000031,1020.23,1020.23,0.0,0.9977893386146087,1020.23,1020.23,1,0.0,0.9977893386146087,0.9977893386146087,[],2017-01-02 23:59:00+00:00,2017-01,2017-01-02 00:00:00+00:00,21.659999999999968,1022.4903800000001,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 1020.23}]",0.02164202889204514,12.120719770792668,0.0,0.0,0,,2.260380000000031,998.57,998.57,2,[],0.0
2017-01-03 23:59:00+00:00,8.660496173953051,9.314956951046982,9.793000000000001,9.841999999999992,2309,2308,9.75,0.1678323841096453,0.03729037999999729,2.831523520397858,0.007650322201503856,0.07011636115838527,0.42328404965569827,0.0,2.260380000000031,1035.03,1035.03,0.0,0.9978208802052132,1035.03,1035.03,1,0.0,0.9978208802052132,0.9978208802052132,[],2017-01-03 23:59:00+00:00,2017-01,2017-01-03 00:00:00+00:00,14.79999999999984,1037.29038,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 1035.03}]",0.014474463808646698,18.49188595706702,0.0,0.0,0,,2.260380000000031,1020.23,1020.23,3,[],0.0
2017-01-04 23:59:00+00:00,10.659356969423053,10.87315865557695,11.168000000000003,10.99908333333334,4435,4433,11.21,0.7424055694674714,0.1454203799999998,4.387643392925505,0.01364482250735044,0.06328773075372535,5.260890694404688,0.0,2.260380000000031,1143.16,1143.16,0.0,0.9980265935201886,1143.16,1143.16,1,0.0,0.9980265935201886,0.9980265935201886,[],2017-01-04 23:59:00+00:00,2017-01,2017-01-04 00:00:00+00:00,108.13000000000011,1145.42038,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 1143.16}]",0.1042427483035202,11.98124918384678,0.0,0.0,0,,2.260380000000031,1035.03,1035.03,4,[],0.0
2017-01-05 23:59:00+00:00,10.430453581021212,11.128562043978846,10.340000000000002,10.30658333333333,5167,5167,10.34,1.2809365793771346,0.007100379999999795,-7.063878239785659,0.0128395497495013,0.06237491853969911,12.54106273295365,0.0,2.260380000000031,1004.84,1004.84,0.0,0.9977555564024313,1004.84,1004.84,1,-0.12075915743702759,0.9980265935201886,0.9977555564024313,[],2017-01-05 23:59:00+00:00,2017-01,2017-01-05 00:00:00+00:00,-138.31999999999994,1007.1003800000001,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 1004.84}]",-0.12075915743702759,0.803861315512484,0.0,0.0,0,1.2010840920172252,2.260380000000031,1143.16,1143.16,5,[],0.0
2017-01-06 23:59:00+00:00,9.99067774200546,10.175978507994365,10.200000000000001,10.181583333333359,5224,5223,10.2,1.3655485978519637,-0.10424962000000171,-11.228731809764916,0.016463046157883188,0.05617747941484457,10.817452903369318,0.0,2.260380000000031,893.49,893.49,0.0,0.9974765514472904,893.49,893.49,1,-0.21797237447442785,0.9980265935201886,0.9974765514472904,[],2017-01-06 23:59:00+00:00,2017-01,2017-01-06 00:00:00+00:00,-111.35000000000002,895.7503800000001,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 893.49}]",-0.11056494686259732,-2.772254538844086,0.0,0.0,0,-3.5677007571573323,2.260380000000031,1004.84,1004.84,6,[],0.0
2017-01-07 23:59:00+00:00,9.67500276053733,9.923965989462646,10.049999999999999,10.026333333333342,6035,6033,10.05,1.2599752166617992,-0.09033962000000217,-7.863740364475889,0.016463046157883188,0.05383594218578734,8.779621845732581,0.0,2.260380000000031,907.4,907.4,0.0,0.9975151385619323,907.4,907.4,1,-0.21797237447442785,0.9980265935201886,0.9975151385619323,[],2017-01-07 23:59:00+00:00,2017-01,2017-01-07 00:00:00+00:00,13.909999999999968,909.66038,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 907.4}]",0.015528879820290609,-2.131630598433645,0.0,0.0,0,-2.7339810496113164,2.260380000000031,893.49,893.49,7,[],0.0
2017-01-08 23:59:00+00:00,10.03418671671531,10.165985158284466,10.42,10.278083333333331,7266,7265,10.42,1.1708243682776722,-0.08375962000000359,-6.102501987278935,0.016463046157883188,0.05154413028874283,7.7130199469436835,0.0,2.260380000000031,913.98,913.98,0.0,0.9975329836478064,913.98,913.98,1,-0.21797237447442785,0.9980265935201886,0.9975329836478064,[],2017-01-08 23:59:00+00:00,2017-01,2017-01-08 00:00:00+00:00,6.580000000000041,916.2403800000001,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 913.98}]",0.007233468824924039,-1.8125880353883241,0.0,0.0,0,-2.309449056788633,2.260380000000031,907.4,907.4,8,[],0.0
2017-01-09 23:59:00+00:00,10.423694594171101,10.645258530828825,10.379999999999999,10.348416666666687,8042,8041,10.38,1.0953661281431957,-0.09471962000000367,-4.384687816419388,0.013107974002117606,0.05590786581657495,5.9061043233651445,0.0,2.260380000000031,903.02,903.02,0.0,0.9975031161064155,903.02,903.02,1,-0.21797237447442785,0.9980265935201886,0.9975031161064155,[],2017-01-09 23:59:00+00:00,2017-01,2017-01-09 00:00:00+00:00,-10.960000000000036,905.28038,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 903.02}]",-0.01196192641062177,-2.0279554503556163,0.0,0.0,0,-2.557146066411852,2.260380000000031,913.98,913.98,9,[],0.0
2017-01-10 23:59:00+00:00,10.458049235339931,10.595966389659932,10.67,10.69175000000001,8980,8980,10.67,1.0345372755995241,-0.09164962000000343,-3.7721017368441814,0.013107974002117606,0.05321307558572865,5.6371637521990285,0.0,2.260380000000031,906.09,906.09,0.0,0.9975115549574602,906.09,906.09,1,-0.21797237447442785,0.9980265935201886,0.9975115549574602,[],2017-01-10 23:59:00+00:00,2017-01,2017-01-10 00:00:00+00:00,3.07000000000005,908.3503800000001,"[{'sid': Equity(0 [BTCUSD]), 'amount': 1, 'cost_basis': 997.73962, 'last_sale_price': 906.09}]",0.00339121455388236,-1.8498702532161082,0.0,0.0,0,-2.3222232883172085,2.260380000000031,903.02,903.02,10,[],0.0
